"Family","Species.ssp.var","common.name","wild.cultivated","Herbaceous.woody","Trait","VALUE","WR2toCrop","WR2toWR1","Both","Neither","Direction.WR2toCrop","Direction.WR2toWR1"
"Myrtaceae","Acca_sellowiana","Pineapple guava wild relative 2","Wild","Woody","ShortShoots","Absent",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava","Cultivated","Woody","Reiteration","NoData",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava wild relative 2","Wild","Woody","Reiteration","NoData",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava","Cultivated","Woody","BasalBranching","NoData",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava wild relative 2","Wild","Woody","BasalBranching","NoData",0,0,0,1,"",""
"Sapindaceae","Acer_glabrum","Sugar maple wild relative 2","Wild","Woody","GrowthDirection","Orthotropic",0,0,0,1,"",""
"Sapindaceae","Acer_glabrum","Sugar maple wild relative 2","Wild","Woody","Phyllotaxis","Opposite",0,0,0,1,"",""
"Sapindaceae","Acer_glabrum","Sugar maple wild relative 2","Wild","Woody","Branching","Branched",0,0,0,1,"",""
"Sapindaceae","Acer_glabrum","Sugar maple wild relative 2","Wild","Woody","BranchingType","Monopodial",0,0,0,1,"",""
"Sapindaceae","Acer_glabrum","Sugar maple wild relative 2","Wild","Woody","BranchingPosition","Basitonic and Mesotonic",0,0,0,1,"",""
"Sapindaceae","Acer_glabrum","Sugar maple wild relative 2","Wild","Woody","Flowering","Terminal",0,0,0,1,"",""
"Sapindaceae","Acer_glabrum","Sugar maple wild relative 2","Wild","Woody","MeristemFunctioning","Indeterminate",0,0,0,1,"",""
"Sapindaceae","Acer_glabrum","Sugar maple wild relative 2","Wild","Woody","BranchingMechanism","Rhythmic",0,0,0,1,"",""
"Sapindaceae","Acer_glabrum","Sugar maple wild relative 2","Wild","Woody","ShortShoots","Present",0,0,0,1,"",""
"Sapindaceae","Acer_glabrum","Sugar maple wild relative 2","Wild","Woody","Reiteration","NoData",0,0,0,1,"",""
"Sapindaceae","Acer_glabrum","Sugar maple wild relative 2","Wild","Woody","BasalBranching","NoData",0,0,0,1,"",""
"Sapindaceae","Acer_opalus","Sugar maple wild relative 1","Wild","Woody","GrowthDirection","Orthotropic",0,0,0,1,"",""
"Sapindaceae","Acer_opalus","Sugar maple wild relative 1","Wild","Woody","Phyllotaxis","Opposite",0,0,0,1,"",""
"Sapindaceae","Acer_opalus","Sugar maple wild relative 1","Wild","Woody","Branching","Branched",0,0,0,1,"",""
"Sapindaceae","Acer_opalus","Sugar maple wild relative 1","Wild","Woody","BranchingType","Monopodial",0,0,0,1,"",""
"Sapindaceae","Acer_opalus","Sugar maple wild relative 1","Wild","Woody","BranchingPosition","Basitonic and Mesotonic",0,0,0,1,"",""
"Sapindaceae","Acer_opalus","Sugar maple wild relative 1","Wild","Woody","Flowering","Terminal",0,0,0,1,"",""
"Sapindaceae","Acer_opalus","Sugar maple wild relative 1","Wild","Woody","MeristemFunctioning","Indeterminate",0,0,0,1,"",""
"Sapindaceae","Acer_opalus","Sugar maple wild relative 1","Wild","Woody","BranchingMechanism","Rhythmic",0,0,0,1,"",""
"Sapindaceae","Acer_opalus","Sugar maple wild relative 1","Wild","Woody","ShortShoots","Present",0,0,0,1,"",""
"Sapindaceae","Acer_opalus","Sugar maple wild relative 1","Wild","Woody","Reiteration","NoData",0,0,0,1,"",""
"Sapindaceae","Acer_opalus","Sugar maple wild relative 1","Wild","Woody","BasalBranching","NoData",0,0,0,1,"",""
"Sapindaceae","Acer_saccharum","Sugar maple","Cultivated","Woody","GrowthDirection","Orthotropic",0,0,0,1,"",""
"Sapindaceae","Acer_saccharum","Sugar maple","Cultivated","Woody","Phyllotaxis","Opposite",0,0,0,1,"",""
"Sapindaceae","Acer_saccharum","Sugar maple","Cultivated","Woody","Branching","Branched",0,0,0,1,"",""
"Sapindaceae","Acer_saccharum","Sugar maple","Cultivated","Woody","BranchingType","Monopodial",0,0,0,1,"",""
"Sapindaceae","Acer_saccharum","Sugar maple","Cultivated","Woody","BranchingPosition","Mesotonic",1,0,0,0,"Basitonic and Mesotonic to Mesotonic",""
